Games,Basement,Level One,The Loft,Bilingual,Back-up?,Pieces,Category,Hidden,Notes,URL
Cards,,3rd drawer,4th drawer,(En/Fr),,,Light Strategy,,,
Cards Against Humanity,LB,13E,X1,,Y,Y,Adult,,,https://boardgamegeek.com/boardgame/50381/cards-against-humanity
Careers,,-,K5,,,,Family,,,https://boardgamegeek.com/boardgame/1475/careers
Carnival of Monsters,,-,M5,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/231484/carnival-monsters
Carpe Diem,,-,Top Shelf,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/245934/carpe-diem
Cartaventura: Vinland,,-,Loft SG - 82,,,,Cooperative,,,https://boardgamegeek.com/boardgame/327077/cartaventura-vinland
Cascadia,,5B,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/295947/cascadia
Cash 'N' Guns ,HC,9E,B3,,Y,Y,Party,,,https://boardgamegeek.com/boardgame/19237/ca-dollar-h-n-gun-dollar
Casting Shadows,,8E,-,,,,Strategy,,,https://boardgamegeek.com/boardgame/359502/casting-shadows
Castle Combo,-,14,-,,,,Light Strategy / New,,,https://boardgamegeek.com/boardgame/416851/castle-combo
Castle Panic ,,1E,H3,,Y,Y,Cooperative,,,https://boardgamegeek.com/boardgame/43443/castle-panic
Castles by the Sea,,-,S1,,,,Strategy,,,https://boardgamegeek.com/boardgame/357841/castles-sea
Castles of Burgundy,,-,T5,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/84876/castles-burgundy
Castles of Mad King Ludwig,,-,S1,,,,Strategy,,,https://boardgamegeek.com/boardgame/155426/castles-mad-king-ludwig
Cat in the Box,,-,Loft SG - 87,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/324345/cat-in-the-box
Cat Lady,,-,L5,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/228504/cat-lady
Cat Tower,,Overflow,Overflow,(En/Fr),Y,,Dexterity,,,https://boardgamegeek.com/boardgame/150485/cat-tower
Catan,CB,8F & 15,T4 & Counter,,,Y,Strategy,,,https://boardgamegeek.com/boardgame/13/catan
Catan (6 player),-,15,Counter,,,,Strategy,,,https://boardgamegeek.com/boardgame/13/catan
Catan Junior,,-,K3,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/184842/catan-junior
Catan: Brotherhood of the Watch,,-,Vestibule,,,,Strategy,,,https://boardgamegeek.com/boardgame/229218/game-thrones-catan-brotherhood-watch
Catan: Cities and Knights,,-,Top Shelf,,,Y,Strategy,,,https://boardgamegeek.com/boardgame/926/catan-cities-knights
Catan: Explorers and Pirates,,-,Vestibule,,,,Strategy,X,,https://boardgamegeek.com/boardgame/135378/catan-explorers-and-pirates
Catan: Rivals of Catan,-,-,i2,,Y,Y,Two Player,,,https://boardgamegeek.com/boardgame/66056/rivals-catan
Catan: Seafarers of Catan,,-,Bag at counter; box in T4,,,,Strategy,X,being repaired,https://boardgamegeek.com/boardgame/325/catan-seafarers
Catan: Settlers of America,,-,Fireplace,,,,Strategy,,,https://boardgamegeek.com/boardgame/67239/catan-histories-settlers-of-america-trails-to-rail
Catan: Star Trek,,-,T4,,,,Strategy,X,,https://boardgamegeek.com/boardgame/117985/star-trek-catan
Catan: Starfarers of Catan,,-,Fireplace,,,,Strategy,,,https://boardgamegeek.com/boardgame/282853/catan-starfarers
Catan: Struggle For Rome,,-,Fireplace,,,,Strategy,,,https://boardgamegeek.com/boardgame/25234/catan-histories-struggle-for-rome
Catan: The Settlers of the Stone Age,Overflow,Overflow,Overflow,,,,Strategy,,,https://boardgamegeek.com/boardgame/4394/settlers-stone-age
Catan: The Struggle for Catan,,-,Loft SG - 83,,,,Strategy,,,https://boardgamegeek.com/boardgame/91534/struggle-catan
Catch a Falling Star,,9C,P5,(En/Fr),,Y,Dexterity,,,https://boardgamegeek.com/boardgame/107649/catch-falling-star
"Catch Phrase: Uncensored (electronic, red)",,13D,XX,,,,Adult,,,https://boardgamegeek.com/boardgame/2582/catch-phrase
Catch Phrase!,,-,B3,,,,Party,,,https://boardgamegeek.com/boardgame/2582/catch-phrase
"Catch Phrase! (electronic, black)",,Window left of library,-,,,,Party,,,https://boardgamegeek.com/boardgame/2582/catch-phrase
