Games,Basement,Level One,The Loft,Bilingual,Back-up?,Pieces,Category,Hidden,Notes,URL
Coloretto,,-,Loft SG - 86,(En/Fr),Y,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/5782/coloretto
Colt Express,,5C,M1,(En/Fr),,Y,Light Strategy,,,https://boardgamegeek.com/boardgame/158899/colt-express
Columns,-,-,J5,(En/Fr),,,Two Player,,,https://boardgamegeek.com/boardgame/7870/columns
Compounded,DE,-,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/118174/compounded
Concept,HD,9C,B2,,Y,Y ,Party,,,https://boardgamegeek.com/boardgame/147151/concept
Concept (Français),,9C,-,(En/Fr),,,Party,,,https://boardgamegeek.com/boardgame/147151/concept
Concept Kids: Animals,Overflow,Overflow,Overflow,,,,Family,,,https://boardgamegeek.com/boardgame/247314/concept-kids-animals
Concordia,,-,Top Shelf,,,,Strategy,,,https://boardgamegeek.com/boardgame/124361/concordia
Condottiere,,-,Loft SG - 88,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/112/condottiere
Confessions: The Game of Secrets and Lies,,Overflow,Overflow,,,,Adult,,,https://boardgamegeek.com/boardgame/243673/confessions-game-secrets-and-lies
Connect 4,AB,2E,i3,(En/Fr),,Y,Two Player,,,https://boardgamegeek.com/boardgame/2719/connect-four
Connected Clues,,Lvl1 SG - 50,-,,,,Party,,,https://boardgamegeek.com/boardgame/367197/connected-clues
Connected Clues Uncensored,,13E,-,,,,Adult,,,https://boardgamegeek.com/boardgame/367197/connected-clues
Conquest of Planet Earth,,Overflow,Overflow,,,,Strategy,,,https://boardgamegeek.com/boardgame/71882/conquest-of-planet-earth-the-space-alien-game
Conquest of The Empire,,Overflow,Overflow,,,,Strategy,,,https://boardgamegeek.com/boardgame/97/conquest-empire
Conspiracy,-,-,-,(En/Fr),,,Family,,,https://boardgamegeek.com/boardgame/697/conspiracy
Conspiracy Theory,HF,-,-,,,,Party,,,https://boardgamegeek.com/boardgame/235399/conspiracy-theory
Conspiracy: The Solomon Gambit,,-,L5,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/267991/conspiracy-solomon-gambit
Construction and Corruption,,Overflow,Overflow,(En/Fr),,,Strategy,,,https://boardgamegeek.com/boardgame/275065/construction-corruption
Convo and Chill,,13E missing,-,,,,Adult,X,,https://convoandchill.com/
Convo and Chill After Dark,,13C,-,,,,Adult,X,,https://convoandchill.com/product/convo-and-chill-after-dark-edition/
Coral,,5E,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/343899/coral
Corinth,,5C,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/269725/corinth
Cornucopia,,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/62343/cornucopia
Cortex Challenge / Braintopia,,Lvl1 SG - 52,Loft SG - 86,,,Y,Party,,,https://boardgamegeek.com/boardgame/206175/braintopia
Cosmic Cow Collectors,,-,Loft SG - 95,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/274784/cosmic-cow-collectors
Cosmic Encounter,CB,-,-,,,,Strategy,,,https://boardgamegeek.com/boardgame/39463/cosmic-encounter
Cosmic Factory,DF,-,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/253379/cosmic-factory
Cosmoctopus,,5E,-,,,,Strategy,,,https://boardgamegeek.com/boardgame/362020/cosmoctopus
Costa Rica,,-,M5,,Y,,Light Strategy,,,https://boardgamegeek.com/boardgame/194100/costa-rica
Cottage Garden,,-,N4,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/204027/cottage-garden
Council of Verona,,-,Loft SG 88,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/165469/council-verona-second-edition
Coup,DD,Lvl1 SG - 54,Loft SG - 88,,Y,Y,Party ,,,https://boardgamegeek.com/boardgame/131357/coup
Coup Rebellion G54,,-,M5,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/148943/coup-rebellion-g54
"Couples Game That's Actually Fun, The",-,Lvl1 SG - 53,-,,,,Two Player,,,https://boardgamegeek.com/boardgame/436628/the-couples-game-thats-actually-fun
Courtisans,- ,Lvl1 SG - 54,-,(En/Fr),,,Light Strategy,,,https://boardgamegeek.com/boardgame/402283/courtisans
Cover Your Assets,,-,Loft SG - 81,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/121193/cover-your-assets
Coyote,,Lvl1 SG - 53,-,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/317981/coyote
Crabs Adjust Humidity,,Overflow,-,,Y,,Adult,,,https://boardgamegeek.com/boardgame/145418/crabs-adjust-humidity-volume-one-unofficial-expans
Crack List,,Lvl1 SG - 51,-,,,,Party,,,https://boardgamegeek.com/boardgame/373284/crack-list
Crack the Case,,Overflow,Overflow,,,,Light Strategy,,,https://boardgamegeek.com/boardgame/1254/crack-the-case
Cranium,,-,B2,,Y (Cranium Wow),Y,Party,,,https://boardgamegeek.com/boardgame/891/cranium
Cranium Dark,,Overflow,-,,Y,,Adult,,,https://boardgamegeek.com/boardgame/204069/cranium-dark
Cranium Party Playoff,HE,-,-,,,,Party,,,https://boardgamegeek.com/boardgame/39994/cranium-party-playoff
Cranium WOW,,-,-,,Y,,Party,,,https://boardgamegeek.com/boardgame/33150/cranium-wow
Cranium: Hoopla ,,-,C2,,,,Cooperative / Party,,,https://boardgamegeek.com/boardgame/4424/cranium-hoopla
Cranium: Pop 5,,-,C2,,,,Party,X,,https://boardgamegeek.com/boardgame/24933/cranium-pop-5
